Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-alpha-match-10'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=5
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNNCRF'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.txt'
rnn_hidden_dim=500
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.hdf5'
save_best=True
seed_num=42
special_bert=False
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-alpha-match-10-train | f1-alpha-match-10-dev | f1-alpha-match-10-test 
            316 |         518.53 |          64.60 |          56.46 |          61.11 
            317 |         584.61 |          64.42 |          57.69 |          61.61 
            318 |         512.55 |          63.99 |          55.88 |          60.13 
            319 |         556.12 |          64.70 |          57.92 |          61.23 
            320 |         525.85 |          63.13 |          56.64 |          59.84 
            321 |         550.26 |          62.40 |          56.30 |          59.71 
            322 |         546.70 |          63.75 |          56.88 |          60.38 
            323 |         540.64 |          63.81 |          57.38 |          60.79 
            324 |         556.75 |          64.10 |          56.95 |          60.27 
            325 |         566.26 |          64.62 |          56.97 |          61.14 
            326 |         561.71 |          64.03 |          56.89 |          61.06 
            327 |         590.63 |          63.86 |          56.48 |          60.95 
            328 |         588.45 |          64.64 |          58.81 |          61.40 
            329 |         532.38 |          64.64 |          58.16 |          61.44 
            330 |         549.73 |          64.98 |          57.61 |          62.30 
            331 |         553.36 |          65.30 |          57.76 |          61.34 
            332 |         575.69 |          66.26 |          57.34 |          61.48 
            333 |         571.32 |          64.78 |          57.74 |          61.79 
            334 |         516.05 |          64.33 |          56.69 |          60.44 
            335 |         509.40 |          64.87 |          58.13 |          60.83 
            336 |         525.09 |          65.22 |          57.44 |          61.85 
            337 |         472.81 |          65.20 |          57.30 |          62.14 
            338 |         611.84 |          65.20 |          58.13 |          62.08 
            339 |         570.60 |          65.57 |          57.16 |          62.31 
            340 |         540.66 |          65.84 |          58.06 |          62.02 
            341 |         471.93 |          65.42 |          57.88 |          62.01 
            342 |         543.89 |          66.17 |          58.12 |          61.68 
            343 |         503.59 |          64.91 |          57.78 |          61.18 
            344 |         551.71 |          66.12 |          58.09 |          61.50 
            345 |         576.29 |          65.56 |          58.48 |          61.54 
            346 |         509.57 |          65.03 |          56.84 |          60.78 
            347 |         522.54 |          65.52 |          58.18 |          61.82 
            348 |         501.09 |          65.41 |          57.73 |          61.52 
            349 |         529.72 |          64.81 |          56.77 |          61.06 
            350 |         587.11 |          65.67 |          57.91 |          61.18 
            351 |         530.63 |          65.29 |          57.82 |          61.32 
            352 |         544.77 |          65.96 |          58.07 |          62.00 
            353 |         522.49 |          65.98 |          57.83 |          61.78 
            354 |         515.61 |          65.07 |          57.58 |          61.26 
            355 |         554.07 |          66.06 |          58.83 |          61.99 
            356 |         526.03 |          66.69 |          59.07 |          62.58 
            357 |         554.69 |          66.64 |          57.71 |          61.34 
            358 |         535.72 |          65.89 |          58.87 |          61.27 
            359 |         546.58 |          66.74 |          58.49 |          61.89 
            360 |         545.55 |          65.90 |          58.47 |          61.52 
            361 |         526.51 |          65.62 |          58.60 |          61.31 
            362 |         494.83 |          65.63 |          57.45 |          61.61 
            363 |         542.70 |          66.55 |          58.44 |          61.84 
            364 |         516.41 |          66.02 |          58.53 |          61.72 
            365 |         594.45 |          67.02 |          58.25 |          61.32 
            366 |         541.45 |          65.91 |          58.26 |          61.40 
            367 |         526.65 |          66.37 |          58.50 |          61.43 
            368 |         534.35 |          66.40 |          58.44 |          62.55 
            369 |         496.37 |          65.98 |          56.37 |          61.00 
            370 |         511.25 |          66.54 |          57.16 |          60.90 
            371 |         595.76 |          66.14 |          58.15 |          61.50 
            372 |         558.18 |          67.12 |          59.38 |          62.37 
            373 |         488.12 |          65.47 |          57.01 |          60.37 
            374 |         547.98 |          66.14 |          57.86 |          60.74 
            375 |         524.30 |          66.30 |          57.74 |          61.42 
            376 |         553.85 |          66.17 |          57.39 |          60.75 
            377 |         531.83 |          66.39 |          58.29 |          61.62 
            378 |         534.45 |          65.48 |          58.15 |          61.37 
            379 |         523.07 |          66.20 |          57.68 |          61.21 
            380 |         529.63 |          65.51 |          58.41 |          61.79 
            381 |         570.10 |          65.47 |          58.31 |          61.53 
            382 |         565.18 |          66.05 |          57.10 |          61.64 
            383 |         535.05 |          65.64 |          57.78 |          61.76 
            384 |         543.88 |          66.53 |          58.10 |          61.97 
            385 |         533.08 |          67.34 |          58.47 |          62.18 
            386 |         492.79 |          66.77 |          58.48 |          62.25 
            387 |         498.71 |          65.35 |          59.08 |          61.40 
            388 |         545.98 |          65.47 |          57.60 |          61.61 
            389 |         506.44 |          66.04 |          58.88 |          61.96 
            390 |         465.86 |          67.22 |          58.90 |          62.95 
            391 |         493.38 |          67.18 |          58.98 |          63.25 
            392 |         508.82 |          66.67 |          57.87 |          61.42 
            393 |         522.09 |          67.48 |          59.12 |          62.83 
            394 |         490.19 |          66.99 |          58.31 |          63.57 
            395 |         528.89 |          67.41 |          58.75 |          63.16 
            396 |         541.13 |          67.34 |          59.14 |          62.88 
            397 |         506.97 |          67.47 |          58.66 |          62.62 
            398 |         508.72 |          66.93 |          58.12 |          62.07 
            399 |         498.52 |          67.68 |          57.88 |          61.49 
            400 |         542.23 |          67.49 |          58.61 |          62.81 
            401 |         516.87 |          67.71 |          59.10 |          62.68 
            402 |         539.33 |          67.41 |          58.07 |          61.22 
            403 |         489.31 |          67.54 |          58.52 |          61.99 
            404 |         524.50 |          67.39 |          59.29 |          62.77 
            405 |         520.50 |          67.44 |          58.88 |          63.48 
            406 |         524.31 |          67.92 |          58.63 |          62.53 
            407 |         520.40 |          66.62 |          58.10 |          61.75 
            408 |         546.77 |          67.34 |          58.80 |          62.80 
            409 |         543.42 |          67.08 |          58.69 |          61.89 
            410 |         537.95 |          66.88 |          59.38 |          61.71 
            411 |         509.41 |          66.75 |          58.82 |          62.04 
            412 |         508.56 |          67.21 |          59.27 |          62.23 
            413 |         472.37 |          67.19 |          59.72 |          62.15 
            414 |         476.72 |          66.81 |          58.69 |          62.11 
            415 |         494.37 |          67.39 |          59.19 |          62.56 
            416 |         519.43 |          68.19 |          60.12 |          62.64 
            417 |         552.54 |          67.96 |          59.51 |          62.68 
            418 |         522.45 |          68.48 |          60.16 |          62.68 
            419 |         474.69 |          67.93 |          60.15 |          62.75 
            420 |         468.53 |          67.35 |          60.21 |          62.75 
            421 |         529.30 |          67.73 |          59.60 |          62.52 
            422 |         484.69 |          67.50 |          59.47 |          62.66 
            423 |         502.73 |          68.38 |          59.40 |          62.09 
            424 |         552.03 |          67.75 |          59.37 |          62.53 
            425 |         480.47 |          66.85 |          58.88 |          62.34 
            426 |         494.85 |          68.02 |          59.58 |          62.54 
            427 |         524.76 |          67.24 |          59.35 |          61.76 
            428 |         517.94 |          68.35 |          59.46 |          62.84 
            429 |         510.30 |          68.69 |          59.94 |          63.03 
            430 |         523.08 |          68.24 |          60.05 |          63.27 
            431 |         527.08 |          68.09 |          60.32 |          62.48 
            432 |         465.27 |          68.48 |          60.27 |          61.70 
            433 |         474.63 |          68.10 |          59.36 |          62.05 
            434 |         515.56 |          68.75 |          60.40 |          62.81 
            435 |         469.87 |          68.82 |          60.13 |          62.89 
            436 |         442.77 |          68.78 |          59.32 |          62.05 
            437 |         540.78 |          68.78 |          59.46 |          61.42 
            438 |         497.69 |          68.11 |          58.79 |          61.27 
            439 |         557.53 |          67.98 |          59.35 |          61.89 
            440 |         487.07 |          68.27 |          59.70 |          61.76 
            441 |         541.06 |          68.52 |          59.92 |          61.94 
            442 |         567.06 |          68.68 |          59.73 |          61.96 
            443 |         511.19 |          68.68 |          59.72 |          61.72 
            444 |         514.97 |          69.03 |          60.01 |          62.04 
            445 |         571.76 |          69.33 |          60.63 |          63.17 
            446 |         494.81 |          69.01 |          60.42 |          62.53 
            447 |         546.62 |          68.26 |          60.99 |          62.72 
            448 |         468.12 |          68.27 |          58.73 |          61.96 
            449 |         523.60 |          68.33 |          59.97 |          62.01 
            450 |         562.95 |          68.13 |          59.27 |          62.47 
            451 |         483.43 |          67.98 |          59.57 |          62.52 
            452 |         503.76 |          68.03 |          59.62 |          62.09 
            453 |         516.89 |          69.01 |          60.20 |          63.08 
            454 |         555.19 |          68.51 |          59.96 |          62.67 
            455 |         536.71 |          68.50 |          59.74 |          62.71 
            456 |         461.47 |          68.64 |          60.00 |          62.58 
            457 |         492.99 |          68.64 |          59.66 |          62.61 
            458 |         534.31 |          68.18 |          59.96 |          62.63 
            459 |         498.80 |          68.57 |          60.41 |          62.78 
            460 |         539.20 |          67.31 |          60.32 |          62.36 
            461 |         483.29 |          67.82 |          60.24 |          62.90 
            462 |         524.38 |          68.36 |          59.41 |          62.44 
            463 |         496.16 |          68.50 |          59.25 |          62.86 
            464 |         542.78 |          68.64 |          59.26 |          62.83 
            465 |         498.62 |          68.41 |          60.17 |          63.59 
            466 |         506.83 |          68.35 |          59.39 |          63.19 
            467 |         517.05 |          68.45 |          59.43 |          63.01 
            468 |         546.94 |          67.66 |          59.97 |          62.87 
            469 |         491.27 |          67.82 |          59.81 |          62.89 
            470 |         496.57 |          68.64 |          59.64 |          63.31 
            471 |         495.68 |          68.73 |          59.30 |          62.38 
            472 |         500.20 |          68.51 |          60.22 |          63.25 
            473 |         533.00 |          68.61 |          59.66 |          62.88 
            474 |         494.86 |          68.72 |          59.44 |          62.85 
            475 |         535.80 |          68.20 |          60.58 |          63.14 
            476 |         492.61 |          69.16 |          60.10 |          63.10 
            477 |         497.83 |          69.05 |          59.35 |          62.72 
            478 |         516.14 |          69.47 |          59.73 |          63.39 
            479 |         494.95 |          68.84 |          59.59 |          62.90 
            480 |         558.50 |          69.51 |          59.74 |          63.35 
            481 |         514.79 |          68.47 |          59.62 |          62.30 
            482 |         484.69 |          68.94 |          59.50 |          62.37 
            483 |         487.02 |          69.34 |          60.04 |          63.09 
            484 |         473.84 |          69.31 |          59.92 |          62.98 
            485 |         499.19 |          68.88 |          58.87 |          62.68 
            486 |         473.67 |          68.61 |          59.92 |          62.73 
            487 |         491.29 |          68.85 |          60.42 |          62.93 
            488 |         511.58 |          69.12 |          60.48 |          62.54 
            489 |         490.95 |          69.62 |          60.71 |          63.92 
            490 |         508.23 |          68.25 |          60.95 |          63.24 
            491 |         475.62 |          68.55 |          60.86 |          63.16 
            492 |         522.60 |          68.85 |          60.13 |          63.62 
            493 |         501.06 |          69.15 |          60.58 |          63.42 
            494 |         500.82 |          69.49 |          60.17 |          63.39 
            495 |         473.57 |          69.26 |          59.94 |          63.30 
            496 |         502.00 |          68.80 |          59.98 |          62.79 
            497 |         469.34 |          68.87 |          60.00 |          63.18 
            498 |         526.43 |          69.31 |          59.55 |          62.91 
            499 |         505.58 |          68.81 |          60.09 |          62.38 
            500 |         523.08 |          69.47 |          60.52 |          63.77 
            501 |         464.26 |          69.87 |          60.99 |          63.95 
            502 |         491.15 |          70.01 |          61.01 |          63.69 
            503 |         446.92 |          70.34 |          60.78 |          63.94 
            504 |         497.79 |          70.62 |          60.84 |          64.48 
            505 |         515.34 |          70.23 |          61.14 |          64.02 
            506 |         437.00 |          69.81 |          60.51 |          63.90 
            507 |         502.41 |          70.16 |          60.77 |          64.02 
            508 |         496.85 |          69.59 |          60.15 |          63.44 
            509 |         531.09 |          70.11 |          60.41 |          64.02 
            510 |         490.17 |          70.16 |          60.55 |          64.04 
            511 |         498.87 |          69.67 |          60.53 |          64.03 
            512 |         445.95 |          70.58 |          60.95 |          64.34 
            513 |         454.58 |          69.88 |          60.61 |          64.09 
            514 |         537.63 |          70.08 |          60.61 |          63.84 
            515 |         505.46 |          69.92 |          60.26 |          63.69 
            516 |         504.53 |          69.53 |          60.72 |          63.67 
            517 |         510.06 |          69.53 |          60.84 |          63.31 
            518 |         454.75 |          69.66 |          60.77 |          63.97 
            519 |         443.40 |          69.61 |          60.99 |          63.89 
            520 |         479.41 |          69.44 |          60.38 |          64.50 
            521 |         445.17 |          69.70 |          60.67 |          64.32 
            522 |         470.71 |          69.84 |          60.32 |          64.32 
            523 |         507.88 |          69.86 |          60.79 |          64.03 
            524 |         449.41 |          70.17 |          60.66 |          64.04 
            525 |         518.64 |          70.32 |          60.86 |          63.94 
            526 |         482.18 |          69.80 |          61.05 |          63.68 
            527 |         425.25 |          69.75 |          61.15 |          64.06 
            528 |         473.75 |          70.44 |          61.00 |          64.08 
            529 |         468.72 |          70.33 |          61.09 |          64.61 
            530 |         477.83 |          70.26 |          61.62 |          64.58 
            531 |         461.68 |          70.25 |          61.16 |          64.45 
            532 |         457.66 |          70.36 |          61.02 |          64.01 
            533 |         463.86 |          70.28 |          60.70 |          64.44 
            534 |         472.48 |          69.81 |          60.78 |          63.87 
            535 |         484.35 |          69.88 |          61.45 |          64.07 
            536 |         526.26 |          69.74 |          60.55 |          64.18 
            537 |         456.52 |          69.97 |          61.22 |          64.01 
            538 |         525.47 |          70.31 |          61.06 |          64.45 
            539 |         483.99 |          70.31 |          61.54 |          63.98 
            540 |         441.17 |          70.01 |          61.01 |          63.94 
            541 |         463.51 |          70.39 |          61.07 |          64.63 
            542 |         501.78 |          70.17 |          61.47 |          64.44 
            543 |         485.11 |          70.43 |          61.50 |          64.34 
            544 |         513.04 |          70.91 |          61.16 |          64.57 
            545 |         500.97 |          70.75 |          60.82 |          64.82 
            546 |         475.04 |          70.97 |          60.65 |          64.63 
            547 |         469.46 |          71.15 |          60.98 |          64.59 
            548 |         478.40 |          71.07 |          60.57 |          64.20 
            549 |         507.54 |          71.15 |          61.65 |          64.50 
            550 |         534.89 |          70.56 |          61.34 |          64.49 
            551 |         457.75 |          71.50 |          61.61 |          64.22 
            552 |         489.59 |          70.52 |          61.21 |          63.89 
            553 |         498.13 |          70.87 |          62.25 |          64.46 
            554 |         515.39 |          71.35 |          61.35 |          64.52 
            555 |         518.29 |          71.16 |          61.59 |          64.13 
            556 |         434.90 |          71.01 |          61.87 |          63.87 
            557 |         478.37 |          71.28 |          61.52 |          64.42 
            558 |         451.49 |          71.38 |          60.62 |          64.22 
            559 |         499.47 |          71.60 |          60.60 |          64.76 
            560 |         492.80 |          71.21 |          62.02 |          64.70 
            561 |         429.86 |          70.50 |          60.30 |          64.37 
            562 |         461.84 |          71.42 |          61.69 |          64.82 
            563 |         507.48 |          71.45 |          61.58 |          64.49 
            564 |         516.74 |          71.40 |          62.18 |          64.45 
            565 |         557.47 |          70.54 |          61.65 |          64.67 
            566 |         467.51 |          70.74 |          61.70 |          64.68 
            567 |         503.85 |          70.84 |          62.01 |          64.11 
            568 |         485.03 |          71.09 |          62.05 |          64.13 
