Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-alpha-match-10'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=5
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNNCRF'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.txt'
rnn_hidden_dim=500
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.hdf5'
save_best=True
seed_num=42
special_bert=False
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-alpha-match-10-train | f1-alpha-match-10-dev | f1-alpha-match-10-test 
             80 |         655.55 |          50.27 |          48.98 |          51.53 
             81 |         695.13 |          49.71 |          49.49 |          51.31 
             82 |         716.05 |          51.25 |          49.96 |          52.01 
             83 |         652.19 |          51.53 |          50.88 |          52.13 
             84 |         703.20 |          51.08 |          49.45 |          51.55 
             85 |         662.47 |          52.02 |          50.03 |          51.86 
             86 |         784.41 |          52.05 |          50.02 |          52.52 
             87 |         745.44 |          52.70 |          50.01 |          52.47 
             88 |         690.56 |          51.95 |          50.97 |          52.57 
             89 |         724.37 |          52.49 |          51.24 |          53.07 
             90 |         662.77 |          51.77 |          49.92 |          52.70 
             91 |         728.32 |          51.60 |          49.48 |          51.84 
             92 |         724.43 |          52.17 |          49.86 |          52.16 
             93 |         617.89 |          52.40 |          50.40 |          52.44 
             94 |         718.91 |          52.03 |          50.85 |          53.13 
             95 |         663.34 |          52.37 |          50.69 |          52.68 
             96 |         672.00 |          52.72 |          50.80 |          52.98 
             97 |         681.00 |          52.72 |          51.19 |          53.73 
             98 |         671.28 |          52.59 |          50.60 |          52.51 
             99 |         677.48 |          52.63 |          50.22 |          52.20 
            100 |         674.93 |          52.57 |          50.81 |          52.72 
            101 |         661.01 |          52.42 |          50.83 |          52.88 
            102 |         654.70 |          52.30 |          50.65 |          52.10 
            103 |         667.32 |          52.32 |          50.41 |          53.01 
            104 |         678.24 |          52.41 |          51.29 |          52.81 
            105 |         666.26 |          53.34 |          51.34 |          53.65 
            106 |         677.74 |          53.16 |          51.52 |          53.82 
            107 |         643.64 |          53.18 |          51.86 |          53.57 
            108 |         660.06 |          53.13 |          51.19 |          53.42 
            109 |         651.72 |          53.84 |          51.80 |          53.96 
            110 |         685.62 |          52.57 |          50.10 |          52.99 
            111 |         656.03 |          52.41 |          50.12 |          52.91 
            112 |         694.70 |          53.38 |          51.28 |          53.70 
            113 |         688.73 |          53.40 |          51.35 |          53.73 
            114 |         698.06 |          53.96 |          51.05 |          53.53 
            115 |         661.46 |          53.29 |          51.99 |          53.89 
            116 |         654.93 |          54.02 |          51.30 |          53.27 
            117 |         611.20 |          54.20 |          51.55 |          54.22 
            118 |         753.46 |          53.87 |          51.49 |          53.94 
            119 |         666.17 |          53.85 |          51.81 |          54.33 
            120 |         620.18 |          54.32 |          52.40 |          55.09 
            121 |         685.94 |          54.08 |          52.10 |          53.95 
            122 |         655.23 |          53.60 |          52.10 |          54.74 
            123 |         577.14 |          53.56 |          52.44 |          54.45 
            124 |         671.39 |          54.04 |          51.95 |          54.25 
            125 |         613.20 |          54.54 |          52.16 |          54.80 
            126 |         615.12 |          53.86 |          51.90 |          55.49 
            127 |         683.95 |          53.54 |          52.10 |          54.47 
            128 |         639.23 |          53.54 |          51.96 |          54.53 
            129 |         592.44 |          53.64 |          52.19 |          54.77 
            130 |         641.46 |          54.31 |          52.12 |          54.35 
            131 |         676.75 |          54.66 |          51.82 |          54.44 
            132 |         674.58 |          53.78 |          52.18 |          54.45 
            133 |         629.42 |          53.85 |          51.14 |          53.93 
            134 |         584.91 |          54.24 |          50.74 |          53.54 
            135 |         691.69 |          54.74 |          52.82 |          54.37 
            136 |         613.97 |          54.35 |          51.26 |          53.58 
            137 |         680.22 |          54.07 |          52.78 |          54.45 
            138 |         647.09 |          54.21 |          52.17 |          54.45 
            139 |         726.31 |          53.87 |          51.63 |          54.22 
            140 |         614.04 |          54.31 |          51.22 |          53.84 
            141 |         578.78 |          53.92 |          51.37 |          53.77 
            142 |         687.73 |          54.47 |          51.81 |          53.50 
            143 |         609.90 |          54.90 |          52.42 |          54.00 
            144 |         608.66 |          55.30 |          53.07 |          54.46 
            145 |         625.91 |          55.12 |          52.94 |          54.70 
            146 |         659.87 |          55.82 |          53.19 |          55.21 
            147 |         636.27 |          55.41 |          52.69 |          54.96 
            148 |         609.99 |          55.47 |          53.46 |          55.36 
            149 |         612.04 |          55.30 |          53.25 |          55.76 
            150 |         583.24 |          55.47 |          52.05 |          53.27 
            151 |         602.00 |          55.35 |          53.62 |          54.91 
