Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=1024
epoch_num=10000
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-large-cased'
patience=100
report_fn='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
             85 |          81.62 |          65.97 |          61.16 |          65.15 
             86 |          92.61 |          67.33 |          61.97 |          65.69 
             87 |          86.38 |          67.88 |          62.69 |          66.22 
             88 |          78.71 |          65.81 |          61.43 |          65.19 
             89 |          89.73 |          68.53 |          62.89 |          66.20 
             90 |          83.14 |          66.52 |          61.36 |          65.55 
             91 |          86.09 |          67.58 |          62.54 |          66.40 
             92 |          89.34 |          66.17 |          61.14 |          65.94 
             93 |          76.70 |          67.55 |          62.10 |          66.59 
             94 |          84.91 |          65.18 |          60.87 |          65.40 
             95 |          78.06 |          66.86 |          61.70 |          66.37 
             96 |          85.94 |          66.99 |          61.59 |          65.94 
             97 |          78.26 |          65.21 |          60.79 |          64.39 
             98 |          81.56 |          69.04 |          63.29 |          67.80 
             99 |          82.29 |          66.54 |          61.39 |          65.57 
            100 |          84.02 |          67.64 |          62.31 |          65.83 
            101 |          79.09 |          68.44 |          63.43 |          67.32 
            102 |          80.97 |          65.66 |          61.26 |          65.47 
            103 |          83.01 |          66.52 |          62.09 |          65.78 
            104 |          83.20 |          66.46 |          61.93 |          66.11 
            105 |          81.00 |          68.15 |          62.94 |          66.88 
            106 |          83.36 |          68.26 |          63.43 |          66.64 
            107 |          74.30 |          66.78 |          62.58 |          65.79 
            108 |          79.76 |          67.25 |          62.21 |          66.62 
            109 |          83.74 |          67.88 |          62.54 |          66.89 
            110 |          83.98 |          67.16 |          61.15 |          66.18 
            111 |          80.38 |          67.50 |          61.73 |          65.93 
            112 |          80.25 |          66.47 |          61.51 |          65.38 
