Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=5
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=200-epochs=10000-lr_bert0.01-frozen=TRUE-lr0.01.log'
lr=0.01
lr_bert=0.01
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=200-epochs=10000-lr_bert0.01-frozen=TRUE-lr0.01.txt'
rnn_hidden_dim=200
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=200-epochs=10000-lr_bert0.01-frozen=TRUE-lr0.01.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
             84 |          77.82 |          67.87 |          62.80 |          66.10 
             85 |          76.85 |          67.25 |          61.72 |          63.84 
             86 |          85.44 |          68.73 |          62.28 |          64.95 
             87 |          82.16 |          68.28 |          62.48 |          65.05 
             88 |          72.68 |          67.49 |          62.51 |          66.40 
             89 |          81.03 |          68.58 |          62.96 |          65.53 
             90 |          77.58 |          68.90 |          63.62 |          66.35 
             91 |          80.09 |          68.69 |          63.94 |          66.44 
             92 |          82.52 |          66.46 |          60.98 |          63.63 
             93 |          71.97 |          68.88 |          63.65 |          66.25 
             94 |          78.41 |          68.74 |          63.08 |          66.66 
             95 |          72.15 |          70.15 |          63.28 |          66.76 
             96 |          79.38 |          69.44 |          63.49 |          66.26 
             97 |          73.71 |          68.50 |          62.81 |          66.16 
             98 |          77.10 |          69.47 |          63.24 |          65.70 
             99 |          75.92 |          68.08 |          61.13 |          65.12 
            100 |          77.08 |          69.58 |          62.53 |          66.24 
            101 |          72.83 |          69.10 |          63.15 |          66.20 
            102 |          74.18 |          67.43 |          60.57 |          63.41 
            103 |          77.40 |          69.71 |          62.94 |          66.12 
            104 |          77.48 |          69.08 |          63.79 |          66.27 
            105 |          76.39 |          71.38 |          64.15 |          67.24 
            106 |          76.95 |          69.52 |          64.44 |          66.58 
            107 |          69.51 |          70.05 |          64.37 |          67.00 
            108 |          75.25 |          70.26 |          64.62 |          67.02 
            109 |          75.02 |          70.13 |          64.22 |          66.84 
            110 |          75.39 |          69.28 |          62.22 |          65.09 
            111 |          75.80 |          69.72 |          62.89 |          65.32 
            112 |          75.34 |          68.96 |          62.29 |          65.21 
            113 |          80.06 |          70.34 |          64.65 |          65.51 
            114 |          78.81 |          69.86 |          63.92 |          65.55 
            115 |          76.84 |          70.28 |          63.84 |          64.88 
            116 |          75.71 |          70.91 |          64.40 |          65.61 
            117 |          71.63 |          70.33 |          64.10 |          66.31 
            118 |          79.20 |          67.71 |          61.48 |          64.72 
            119 |          76.98 |          69.58 |          62.92 |          64.88 
            120 |          70.14 |          69.72 |          63.13 |          64.84 
            121 |          76.49 |          70.41 |          63.63 |          65.39 
            122 |          78.51 |          68.50 |          62.45 |          64.12 
            123 |          70.44 |          70.32 |          63.97 |          65.89 
            124 |          74.58 |          70.19 |          61.95 |          65.29 
            125 |          71.57 |          71.52 |          64.58 |          67.25 
            126 |          70.21 |          72.22 |          64.86 |          66.94 
            127 |          79.62 |          70.26 |          62.75 |          65.41 
            128 |          72.26 |          70.36 |          62.99 |          65.96 
            129 |          68.03 |          69.80 |          62.69 |          65.93 
            130 |          75.15 |          71.85 |          63.89 |          67.71 
            131 |          77.34 |          71.48 |          63.92 |          66.88 
            132 |          76.34 |          72.33 |          64.28 |          67.19 
            133 |          73.36 |          71.83 |          63.98 |          67.10 
            134 |          70.71 |          70.43 |          62.33 |          65.45 
            135 |          79.47 |          71.41 |          64.41 |          67.27 
            136 |          69.51 |          71.71 |          65.10 |          67.40 
            137 |          76.68 |          72.33 |          65.44 |          68.75 
            138 |          74.73 |          72.06 |          64.63 |          68.36 
            139 |          78.78 |          72.06 |          64.35 |          67.59 
            140 |          66.04 |          71.26 |          63.52 |          66.29 
            141 |          65.35 |          71.14 |          62.96 |          65.94 
            142 |          73.11 |          71.79 |          63.86 |          67.12 
            143 |          71.80 |          72.94 |          65.21 |          67.72 
            144 |          70.85 |          73.11 |          65.05 |          68.01 
            145 |          67.96 |          71.91 |          64.18 |          67.60 
            146 |          71.68 |          72.68 |          64.82 |          67.34 
            147 |          69.86 |          71.40 |          63.46 |          66.61 
            148 |          68.23 |          71.48 |          63.98 |          66.61 
            149 |          69.62 |          72.40 |          64.62 |          67.62 
            150 |          71.09 |          70.44 |          62.64 |          65.85 
            151 |          69.26 |          72.14 |          65.12 |          67.66 
            152 |          72.24 |          71.31 |          63.34 |          65.65 
            153 |          67.47 |          71.87 |          63.55 |          66.63 
            154 |          68.29 |          71.74 |          63.75 |          67.71 
            155 |          70.09 |          72.78 |          64.99 |          68.01 
            156 |          71.12 |          71.88 |          63.56 |          66.46 
            157 |          74.99 |          72.44 |          64.62 |          67.62 
            158 |          65.46 |          73.07 |          64.75 |          67.42 
            159 |          68.88 |          72.46 |          64.83 |          67.50 
            160 |          66.31 |          73.21 |          65.64 |          67.91 
            161 |          68.10 |          71.73 |          64.61 |          66.59 
            162 |          80.30 |          72.26 |          64.31 |          66.96 
            163 |          71.40 |          71.68 |          64.98 |          67.63 
            164 |          73.62 |          72.45 |          65.22 |          67.74 
            165 |          64.22 |          72.52 |          64.31 |          67.28 
            166 |          70.83 |          72.51 |          64.77 |          66.98 
            167 |          72.61 |          73.42 |          65.19 |          68.48 
            168 |          73.94 |          73.34 |          65.42 |          67.96 
            169 |          70.26 |          72.49 |          64.51 |          68.06 
            170 |          65.98 |          72.93 |          64.79 |          68.06 
            171 |          72.35 |          72.77 |          64.76 |          67.92 
            172 |          75.18 |          73.51 |          65.30 |          68.40 
            173 |          67.43 |          73.58 |          64.10 |          67.47 
            174 |          73.92 |          73.81 |          64.60 |          67.98 
            175 |          67.03 |          71.81 |          62.76 |          65.86 
            176 |          70.80 |          73.80 |          65.03 |          68.10 
            177 |          70.03 |          72.79 |          63.38 |          66.48 
            178 |          77.56 |          73.43 |          64.97 |          67.87 
            179 |          71.52 |          74.14 |          65.91 |          69.30 
            180 |          68.86 |          74.01 |          65.52 |          68.39 
            181 |          69.79 |          73.76 |          64.84 |          69.16 
            182 |          69.22 |          73.17 |          63.53 |          67.47 
            183 |          70.33 |          73.57 |          64.20 |          67.21 
            184 |          62.71 |          74.76 |          65.19 |          69.72 
            185 |          66.18 |          74.24 |          65.07 |          68.50 
            186 |          70.87 |          72.74 |          63.20 |          67.04 
            187 |          67.83 |          74.27 |          64.60 |          67.61 
            188 |          64.99 |          73.95 |          64.93 |          68.36 
            189 |          67.64 |          73.50 |          64.17 |          68.59 
            190 |          64.74 |          74.04 |          64.38 |          68.21 
            191 |          68.30 |          74.40 |          65.43 |          68.86 
            192 |          65.79 |          73.85 |          63.62 |          68.16 
            193 |          66.55 |          74.06 |          63.66 |          68.84 
