Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-alpha-match-10'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN-evalf1-alpha-match-10.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN-evalf1-alpha-match-10.txt'
rnn_hidden_dim=500
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN-evalf1-alpha-match-10.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-alpha-match-10-train | f1-alpha-match-10-dev | f1-alpha-match-10-test 
            349 |          41.57 |          69.49 |          55.47 |          58.37 
            350 |          47.86 |          70.12 |          55.56 |          58.39 
            351 |          46.76 |          70.50 |          55.66 |          58.44 
            352 |          43.77 |          71.56 |          56.27 |          58.90 
            353 |          41.70 |          70.58 |          55.58 |          58.26 
            354 |          41.31 |          70.56 |          55.74 |          58.49 
            355 |          45.79 |          71.05 |          55.06 |          59.04 
            356 |          42.62 |          71.09 |          55.04 |          58.57 
            357 |          47.78 |          70.03 |          55.27 |          58.94 
            358 |          44.07 |          69.73 |          54.92 |          58.18 
            359 |          45.93 |          69.69 |          54.61 |          58.07 
            360 |          47.22 |          70.18 |          55.33 |          58.79 
            361 |          43.93 |          70.72 |          55.39 |          59.45 
            362 |          42.15 |          70.47 |          55.08 |          58.18 
            363 |          41.14 |          70.09 |          54.42 |          57.88 
            364 |          42.77 |          70.83 |          54.60 |          58.99 
            365 |          46.64 |          70.23 |          54.66 |          57.14 
            366 |          41.37 |          71.46 |          55.01 |          58.63 
            367 |          42.66 |          70.75 |          54.96 |          58.59 
            368 |          42.36 |          71.92 |          55.90 |          59.52 
            369 |          38.57 |          68.52 |          54.61 |          57.09 
            370 |          44.50 |          69.74 |          55.05 |          57.68 
            371 |          44.84 |          70.44 |          54.89 |          57.76 
            372 |          47.65 |          71.90 |          56.09 |          59.37 
            373 |          40.25 |          69.82 |          54.98 |          58.38 
            374 |          41.87 |          70.78 |          54.89 |          58.35 
            375 |          42.60 |          71.36 |          55.78 |          58.52 
            376 |          41.75 |          71.02 |          54.95 |          59.22 
            377 |          45.63 |          69.98 |          54.19 |          58.13 
            378 |          43.88 |          71.33 |          56.37 |          59.44 
            379 |          41.96 |          71.00 |          55.67 |          59.63 
            380 |          42.04 |          71.55 |          56.72 |          59.88 
            381 |          44.99 |          72.44 |          56.47 |          59.19 
            382 |          47.16 |          71.40 |          55.28 |          58.93 
            383 |          45.39 |          72.14 |          55.41 |          59.76 
            384 |          44.23 |          72.59 |          56.05 |          60.04 
            385 |          45.21 |          72.37 |          56.00 |          59.69 
            386 |          41.89 |          71.46 |          55.52 |          59.02 
            387 |          41.86 |          72.39 |          56.28 |          60.59 
            388 |          42.94 |          71.46 |          55.66 |          59.05 
            389 |          43.43 |          71.83 |          55.62 |          58.99 
            390 |          39.63 |          72.42 |          55.66 |          59.27 
            391 |          40.39 |          72.37 |          56.11 |          59.66 
            392 |          41.56 |          71.26 |          54.73 |          58.85 
            393 |          44.69 |          72.35 |          55.53 |          58.48 
            394 |          41.80 |          73.00 |          55.82 |          59.51 
            395 |          44.66 |          72.16 |          56.08 |          58.96 
            396 |          44.14 |          72.71 |          56.14 |          58.71 
            397 |          42.36 |          73.00 |          56.77 |          59.27 
            398 |          41.06 |          72.16 |          55.66 |          58.73 
            399 |          42.23 |          72.09 |          55.88 |          58.76 
            400 |          44.03 |          72.57 |          56.08 |          58.88 
            401 |          42.44 |          72.56 |          55.84 |          59.27 
            402 |          41.49 |          71.64 |          54.28 |          58.86 
            403 |          43.14 |          72.38 |          55.75 |          59.55 
            404 |          42.57 |          73.01 |          55.91 |          59.66 
            405 |          41.52 |          72.79 |          55.66 |          59.15 
            406 |          42.99 |          72.05 |          55.16 |          59.51 
            407 |          41.01 |          72.30 |          55.07 |          59.37 
            408 |          43.68 |          72.27 |          56.24 |          59.65 
            409 |          43.63 |          72.51 |          56.47 |          59.70 
            410 |          44.04 |          72.37 |          55.12 |          59.48 
            411 |          40.45 |          72.40 |          54.72 |          58.67 
            412 |          41.83 |          73.30 |          55.71 |          59.37 
            413 |          38.25 |          73.55 |          56.24 |          59.94 
            414 |          39.22 |          73.31 |          55.91 |          59.18 
            415 |          42.89 |          73.44 |          56.58 |          58.99 
            416 |          42.40 |          73.62 |          56.61 |          59.02 
            417 |          45.05 |          73.06 |          56.47 |          59.12 
            418 |          45.16 |          73.96 |          56.75 |          59.13 
            419 |          37.83 |          73.60 |          56.32 |          58.37 
            420 |          36.26 |          73.79 |          56.18 |          59.73 
            421 |          39.75 |          73.01 |          55.79 |          59.26 
            422 |          40.87 |          73.42 |          55.91 |          59.60 
            423 |          43.34 |          72.88 |          55.05 |          58.41 
            424 |          42.40 |          73.95 |          55.88 |          59.27 
            425 |          38.41 |          72.67 |          55.87 |          59.68 
            426 |          39.72 |          73.63 |          56.13 |          59.53 
            427 |          43.38 |          72.96 |          56.62 |          59.82 
            428 |          44.01 |          73.59 |          55.37 |          59.69 
            429 |          40.57 |          74.25 |          56.19 |          61.21 
            430 |          42.92 |          73.51 |          55.98 |          59.71 
            431 |          41.01 |          72.68 |          55.98 |          59.80 
            432 |          38.94 |          71.58 |          54.43 |          58.40 
            433 |          37.09 |          72.10 |          54.70 |          58.73 
            434 |          41.24 |          72.71 |          55.31 |          59.05 
            435 |          42.64 |          74.05 |          55.87 |          59.58 
            436 |          36.57 |          73.09 |          55.26 |          58.77 
            437 |          43.71 |          71.95 |          54.49 |          58.14 
            438 |          39.35 |          73.03 |          55.47 |          59.16 
            439 |          44.43 |          72.72 |          54.69 |          59.01 
            440 |          40.31 |          73.33 |          55.89 |          59.50 
            441 |          44.31 |          73.74 |          56.54 |          60.21 
            442 |          45.20 |          74.23 |          55.97 |          59.97 
            443 |          41.59 |          72.85 |          55.47 |          58.38 
            444 |          41.75 |          74.83 |          57.47 |          60.57 
            445 |          46.45 |          74.67 |          56.59 |          61.27 
            446 |          40.79 |          74.33 |          56.43 |          60.14 
            447 |          44.42 |          74.45 |          56.76 |          60.32 
            448 |          38.99 |          73.47 |          55.16 |          59.87 
            449 |          41.04 |          73.27 |          56.15 |          60.27 
            450 |          44.32 |          73.40 |          55.86 |          59.66 
            451 |          38.27 |          73.45 |          55.58 |          60.09 
            452 |          38.42 |          73.94 |          55.58 |          59.68 
            453 |          40.27 |          74.22 |          55.83 |          60.15 
            454 |          43.74 |          74.96 |          57.08 |          61.17 
            455 |          46.17 |          74.66 |          56.04 |          60.48 
            456 |          41.90 |          75.05 |          55.98 |          60.59 
            457 |          39.20 |          75.07 |          56.46 |          61.00 
            458 |          39.45 |          74.66 |          56.55 |          61.05 
            459 |          38.49 |          74.75 |          56.63 |          60.96 
            460 |          40.61 |          73.84 |          56.50 |          61.16 
            461 |          38.94 |          74.11 |          55.61 |          60.60 
            462 |          41.49 |          73.62 |          55.51 |          59.21 
            463 |          40.10 |          73.90 |          56.04 |          59.41 
            464 |          40.91 |          73.85 |          55.92 |          59.78 
            465 |          40.54 |          74.18 |          56.06 |          59.55 
            466 |          44.83 |          74.32 |          55.94 |          59.11 
            467 |          41.83 |          74.66 |          56.79 |          60.18 
            468 |          41.64 |          74.88 |          57.01 |          61.51 
            469 |          40.79 |          74.76 |          56.62 |          60.95 
            470 |          38.60 |          75.01 |          55.91 |          60.06 
            471 |          37.12 |          74.65 |          55.93 |          60.03 
            472 |          39.89 |          75.03 |          57.04 |          60.60 
            473 |          41.77 |          74.48 |          56.11 |          60.49 
            474 |          41.07 |          74.50 |          56.05 |          60.18 
            475 |          41.31 |          75.37 |          55.85 |          60.81 
            476 |          38.88 |          75.69 |          56.79 |          60.45 
            477 |          39.12 |          74.61 |          56.04 |          59.77 
            478 |          42.29 |          74.85 |          56.88 |          59.99 
            479 |          40.33 |          74.40 |          56.63 |          59.92 
            480 |          45.95 |          74.90 |          57.30 |          60.97 
            481 |          40.20 |          74.07 |          56.59 |          60.72 
            482 |          37.39 |          74.25 |          56.38 |          60.70 
            483 |          37.82 |          74.38 |          57.06 |          60.28 
            484 |          38.82 |          74.28 |          56.00 |          59.31 
            485 |          37.49 |          73.74 |          55.85 |          59.28 
            486 |          37.93 |          74.03 |          56.51 |          60.28 
            487 |          39.49 |          74.25 |          56.83 |          60.18 
            488 |          42.05 |          74.71 |          56.80 |          61.17 
            489 |          39.11 |          75.76 |          57.38 |          61.57 
            490 |          40.24 |          74.62 |          56.95 |          60.23 
            491 |          39.18 |          74.82 |          56.93 |          61.13 
            492 |          41.03 |          74.85 |          56.14 |          60.18 
            493 |          39.57 |          74.83 |          56.67 |          61.12 
            494 |          40.85 |          74.12 |          55.68 |          60.44 
            495 |          37.60 |          74.87 |          56.12 |          60.51 
            496 |          40.42 |          74.93 |          55.98 |          61.02 
            497 |          38.78 |          74.88 |          56.51 |          61.79 
            498 |          44.19 |          74.78 |          55.88 |          60.42 
            499 |          40.62 |          74.49 |          56.23 |          59.96 
            500 |          41.15 |          74.07 |          55.52 |          59.96 
            501 |          38.16 |          75.14 |          55.94 |          60.60 
            502 |          41.65 |          74.56 |          55.79 |          59.96 
            503 |          39.44 |          75.51 |          56.32 |          60.48 
            504 |          38.76 |          74.83 |          56.30 |          60.08 
            505 |          39.23 |          75.03 |          56.50 |          61.36 
            506 |          35.18 |          74.39 |          55.83 |          59.94 
            507 |          39.20 |          74.90 |          56.21 |          60.29 
            508 |          39.18 |          74.19 |          55.21 |          59.17 
            509 |          42.29 |          75.18 |          56.28 |          59.88 
            510 |          42.08 |          74.92 |          56.17 |          60.89 
            511 |          39.37 |          75.26 |          56.73 |          60.99 
            512 |          38.28 |          75.31 |          57.08 |          60.90 
            513 |          37.44 |          75.07 |          56.19 |          61.24 
            514 |          41.56 |          74.60 |          56.80 |          60.75 
            515 |          41.61 |          75.13 |          57.21 |          61.24 
            516 |          37.54 |          74.97 |          56.71 |          60.94 
            517 |          42.34 |          75.05 |          56.64 |          61.62 
            518 |          36.21 |          75.36 |          57.33 |          61.76 
            519 |          34.20 |          75.33 |          56.73 |          62.01 
            520 |          41.97 |          75.08 |          56.30 |          60.82 
            521 |          39.76 |          75.97 |          57.22 |          61.29 
            522 |          36.55 |          76.30 |          57.39 |          61.84 
            523 |          37.91 |          75.72 |          56.38 |          60.45 
            524 |          36.06 |          76.01 |          57.49 |          61.43 
            525 |          41.60 |          75.99 |          56.50 |          61.40 
            526 |          40.04 |          74.94 |          55.57 |          60.02 
            527 |          34.58 |          76.11 |          57.24 |          61.89 
            528 |          35.09 |          75.45 |          56.13 |          60.39 
            529 |          36.61 |          75.70 |          56.63 |          60.74 
            530 |          37.91 |          76.23 |          57.92 |          61.16 
            531 |          36.56 |          75.81 |          57.00 |          60.94 
            532 |          35.40 |          75.39 |          56.45 |          60.67 
            533 |          34.57 |          75.77 |          56.44 |          60.67 
            534 |          37.45 |          76.03 |          56.24 |          60.62 
            535 |          37.11 |          76.32 |          56.95 |          61.17 
            536 |          39.80 |          75.56 |          56.51 |          60.63 
            537 |          36.73 |          75.33 |          56.63 |          60.47 
            538 |          41.58 |          75.63 |          56.72 |          60.51 
            539 |          37.69 |          75.79 |          57.40 |          61.55 
            540 |          35.10 |          75.89 |          56.68 |          61.53 
            541 |          35.86 |          76.00 |          56.88 |          61.08 
            542 |          41.19 |          75.88 |          56.90 |          60.08 
            543 |          38.43 |          75.59 |          56.58 |          60.60 
            544 |          40.39 |          76.03 |          56.58 |          61.02 
            545 |          39.64 |          75.64 |          56.66 |          60.75 
            546 |          37.64 |          76.15 |          56.55 |          61.03 
            547 |          36.56 |          76.13 |          57.18 |          61.45 
            548 |          37.05 |          75.82 |          56.00 |          61.22 
            549 |          38.63 |          76.49 |          57.11 |          61.56 
            550 |          40.36 |          76.16 |          56.58 |          61.88 
            551 |          35.09 |          76.26 |          56.91 |          61.95 
            552 |          38.51 |          75.51 |          55.67 |          61.09 
            553 |          36.38 |          75.86 |          56.59 |          61.11 
            554 |          39.98 |          76.36 |          55.75 |          60.70 
            555 |          41.87 |          76.84 |          57.61 |          61.40 
            556 |          35.82 |          76.06 |          55.87 |          60.65 
            557 |          38.43 |          76.20 |          56.93 |          61.61 
            558 |          40.24 |          76.32 |          56.42 |          60.54 
            559 |          38.93 |          76.35 |          56.87 |          61.26 
            560 |          35.05 |          76.26 |          58.09 |          61.73 
            561 |          34.17 |          75.03 |          55.83 |          60.59 
            562 |          37.81 |          75.63 |          56.79 |          60.50 
            563 |          37.66 |          76.30 |          57.32 |          60.64 
            564 |          39.10 |          76.82 |          57.63 |          61.21 
            565 |          43.84 |          76.16 |          56.70 |          60.56 
            566 |          36.90 |          76.88 |          56.84 |          61.10 
            567 |          39.88 |          76.18 |          55.95 |          60.66 
            568 |          40.08 |          76.23 |          56.33 |          60.69 
            569 |          39.31 |          76.44 |          56.73 |          60.74 
            570 |          39.35 |          76.43 |          57.45 |          60.96 
            571 |          39.53 |          75.45 |          55.59 |          59.84 
            572 |          36.27 |          76.11 |          56.59 |          60.28 
            573 |          37.41 |          76.24 |          55.93 |          60.23 
            574 |          39.74 |          75.87 |          55.26 |          60.13 
            575 |          35.75 |          76.43 |          56.04 |          60.95 
            576 |          41.81 |          76.77 |          56.67 |          60.99 
            577 |          36.47 |          76.49 |          55.51 |          60.45 
            578 |          35.91 |          76.35 |          56.75 |          61.39 
            579 |          36.40 |          76.66 |          57.07 |          60.84 
            580 |          38.14 |          76.76 |          57.18 |          61.47 
            581 |          38.52 |          75.51 |          55.96 |          60.31 
            582 |          33.19 |          76.80 |          56.74 |          60.68 
            583 |          39.67 |          76.49 |          57.36 |          60.77 
            584 |          36.88 |          75.43 |          55.44 |          59.94 
            585 |          40.75 |          76.10 |          56.85 |          61.21 
            586 |          39.97 |          76.13 |          56.55 |          61.12 
            587 |          38.26 |          76.47 |          56.97 |          61.54 
            588 |          36.43 |          76.58 |          56.74 |          61.19 
            589 |          34.61 |          76.90 |          56.91 |          61.59 
            590 |          45.06 |          76.95 |          56.91 |          61.41 
            591 |          35.63 |          76.92 |          56.68 |          61.70 
            592 |          37.29 |          76.66 |          56.70 |          61.41 
            593 |          37.03 |          76.28 |          56.69 |          60.74 
            594 |          36.46 |          76.50 |          56.65 |          60.71 
            595 |          37.76 |          76.66 |          56.41 |          60.64 
            596 |          35.01 |          76.61 |          56.79 |          61.18 
            597 |          42.55 |          76.76 |          57.07 |          61.07 
            598 |          36.43 |          76.67 |          56.05 |          60.32 
            599 |          41.39 |          77.22 |          56.97 |          60.74 
            600 |          39.06 |          77.13 |          57.09 |          61.51 
            601 |          37.19 |          77.05 |          56.50 |          60.93 
            602 |          35.47 |          76.99 |          56.91 |          61.08 
            603 |          37.11 |          76.73 |          57.19 |          61.04 
            604 |          43.25 |          77.40 |          57.09 |          61.15 
            605 |          36.53 |          75.87 |          55.48 |          59.87 
            606 |          39.33 |          76.65 |          56.92 |          61.36 
            607 |          37.36 |          76.72 |          55.91 |          60.87 
            608 |          38.06 |          76.45 |          57.24 |          61.38 
            609 |          40.68 |          76.78 |          57.98 |          62.24 
            610 |          39.58 |          76.76 |          57.48 |          60.91 
            611 |          35.71 |          76.70 |          58.09 |          61.29 
            612 |          36.26 |          76.40 |          57.25 |          60.96 
            613 |          38.51 |          76.82 |          57.58 |          61.87 
            614 |          37.49 |          76.91 |          57.04 |          61.63 
            615 |          37.40 |          75.24 |          55.54 |          59.91 
            616 |          36.87 |          76.67 |          56.40 |          60.73 
            617 |          36.47 |          76.84 |          56.35 |          60.82 
            618 |          35.53 |          76.90 |          56.65 |          61.06 
            619 |          38.22 |          77.33 |          56.03 |          61.21 
            620 |          32.68 |          76.93 |          56.30 |          61.39 
            621 |          38.27 |          76.28 |          54.99 |          60.06 
            622 |          36.88 |          76.22 |          55.76 |          59.86 
            623 |          39.43 |          77.23 |          56.37 |          61.20 
            624 |          34.57 |          77.28 |          56.99 |          61.81 
            625 |          41.00 |          77.33 |          56.60 |          61.25 
            626 |          35.41 |          76.81 |          56.55 |          60.70 
            627 |          35.90 |          76.50 |          56.46 |          61.06 
            628 |          37.75 |          76.82 |          57.11 |          61.39 
            629 |          32.96 |          76.79 |          57.08 |          61.10 
            630 |          37.91 |          76.83 |          57.12 |          61.64 
            631 |          35.69 |          76.39 |          56.87 |          60.98 
            632 |          35.22 |          76.68 |          57.00 |          61.50 
            633 |          36.60 |          77.14 |          57.31 |          62.00 
            634 |          38.28 |          77.32 |          57.69 |          62.16 
            635 |          42.25 |          76.11 |          55.49 |          60.56 
            636 |          39.44 |          76.80 |          55.59 |          60.35 
            637 |          36.33 |          77.30 |          57.47 |          61.22 
            638 |          37.53 |          77.77 |          57.32 |          61.28 
            639 |          35.64 |          77.89 |          56.63 |          61.30 
            640 |          37.59 |          77.60 |          56.85 |          61.38 
            641 |          36.27 |          77.39 |          57.86 |          61.71 
            642 |          32.89 |          76.83 |          56.35 |          60.73 
            643 |          34.42 |          77.32 |          56.96 |          61.66 
            644 |          33.78 |          78.29 |          56.48 |          61.43 
            645 |          37.15 |          77.54 |          56.73 |          61.72 
            646 |          37.56 |          78.23 |          56.96 |          61.71 
            647 |          35.81 |          77.81 |          56.41 |          61.29 
            648 |          40.63 |          77.83 |          57.06 |          61.89 
            649 |          36.74 |          78.26 |          57.41 |          61.85 
            650 |          32.52 |          77.41 |          56.72 |          61.49 
            651 |          36.45 |          77.98 |          56.52 |          61.25 
            652 |          38.32 |          78.40 |          57.32 |          61.54 
            653 |          33.00 |          78.15 |          57.24 |          61.95 
            654 |          34.16 |          77.74 |          57.39 |          61.87 
            655 |          36.55 |          78.40 |          57.28 |          62.52 
            656 |          38.00 |          77.16 |          57.44 |          61.09 
            657 |          39.99 |          78.05 |          57.77 |          61.83 
            658 |          35.16 |          78.06 |          57.95 |          61.68 
            659 |          36.94 |          77.77 |          56.56 |          61.46 
            660 |          35.23 |          78.04 |          58.02 |          61.72 
            661 |          35.52 |          77.67 |          57.55 |          62.10 
            662 |          36.25 |          78.24 |          57.50 |          61.59 
            663 |          37.33 |          77.64 |          56.08 |          61.21 
            664 |          35.93 |          77.54 |          56.39 |          61.61 
            665 |          34.90 |          77.63 |          57.00 |          61.70 
            666 |          38.95 |          78.20 |          56.90 |          61.61 
            667 |          36.02 |          77.47 |          56.36 |          61.88 
            668 |          36.38 |          77.93 |          57.32 |          62.33 
            669 |          32.58 |          77.22 |          56.16 |          61.25 
            670 |          32.84 |          77.20 |          56.26 |          61.31 
            671 |          34.02 |          77.64 |          56.81 |          62.01 
            672 |          34.48 |          77.36 |          56.75 |          60.82 
            673 |          37.24 |          77.48 |          56.03 |          61.00 
            674 |          42.19 |          77.69 |          56.73 |          61.92 
            675 |          34.17 |          77.38 |          57.26 |          61.92 
            676 |          35.59 |          77.58 |          57.36 |          62.13 
            677 |          34.81 |          77.60 |          55.92 |          61.59 
            678 |          41.16 |          77.73 |          55.52 |          61.53 
            679 |          35.71 |          77.75 |          56.59 |          61.91 
            680 |          39.26 |          78.28 |          57.42 |          63.08 
            681 |          36.11 |          78.76 |          58.12 |          62.52 
            682 |          37.45 |          78.22 |          56.71 |          62.31 
            683 |          36.14 |          78.86 |          57.33 |          62.31 
            684 |          33.32 |          79.09 |          58.11 |          62.24 
            685 |          36.02 |          78.18 |          57.04 |          62.16 
            686 |          33.89 |          78.31 |          56.61 |          61.72 
            687 |          35.53 |          77.82 |          55.20 |          61.23 
            688 |          37.03 |          78.34 |          56.45 |          62.07 
            689 |          34.70 |          78.06 |          55.82 |          61.47 
            690 |          34.23 |          78.55 |          56.66 |          62.23 
            691 |          36.62 |          78.26 |          57.41 |          62.25 
            692 |          39.95 |          78.50 |          56.60 |          61.31 
            693 |          36.98 |          78.30 |          55.98 |          60.87 
            694 |          34.94 |          78.80 |          57.57 |          62.70 
            695 |          39.34 |          78.42 |          55.46 |          61.15 
            696 |          35.77 |          78.59 |          56.31 |          62.42 
            697 |          35.22 |          78.54 |          57.40 |          62.34 
            698 |          38.12 |          78.81 |          57.18 |          62.61 
            699 |          35.00 |          78.97 |          57.00 |          62.64 
            700 |          33.23 |          78.71 |          56.96 |          62.02 
            701 |          32.72 |          79.15 |          57.66 |          62.76 
            702 |          33.30 |          78.09 |          56.91 |          61.83 
            703 |          32.76 |          79.08 |          56.54 |          62.52 
            704 |          36.56 |          78.93 |          57.54 |          62.57 
            705 |          34.74 |          78.84 |          56.57 |          61.87 
            706 |          36.95 |          79.08 |          56.56 |          61.83 
            707 |          34.28 |          79.66 |          58.31 |          62.34 
            708 |          35.54 |          79.43 |          57.98 |          62.45 
            709 |          37.11 |          77.88 |          55.55 |          60.99 
            710 |          37.76 |          79.07 |          57.24 |          62.65 
            711 |          36.73 |          79.01 |          57.15 |          62.12 
            712 |          40.15 |          78.85 |          56.17 |          62.01 
            713 |          36.12 |          79.19 |          57.41 |          62.72 
            714 |          31.99 |          78.20 |          57.00 |          61.89 
            715 |          33.71 |          78.79 |          57.72 |          62.62 
            716 |          35.85 |          78.78 |          56.07 |          61.38 
            717 |          36.61 |          78.22 |          55.73 |          61.78 
            718 |          36.87 |          78.73 |          56.95 |          62.51 
            719 |          36.24 |          78.23 |          57.49 |          62.35 
            720 |          35.50 |          78.33 |          57.04 |          62.24 
            721 |          34.62 |          79.34 |          56.87 |          62.25 
            722 |          35.51 |          79.14 |          57.37 |          62.51 
            723 |          36.11 |          78.84 |          55.47 |          61.88 
            724 |          35.93 |          78.74 |          56.03 |          62.53 
            725 |          35.49 |          79.17 |          57.47 |          62.83 
            726 |          35.37 |          79.15 |          56.58 |          62.09 
            727 |          36.57 |          79.35 |          55.96 |          62.34 
            728 |          34.89 |          79.56 |          57.37 |          62.72 
            729 |          37.33 |          79.59 |          56.01 |          63.07 
            730 |          38.01 |          79.32 |          57.01 |          63.19 
            731 |          36.53 |          79.95 |          57.33 |          62.64 
            732 |          38.16 |          79.54 |          56.38 |          62.81 
            733 |          37.66 |          79.02 |          56.34 |          63.07 
            734 |          35.29 |          78.66 |          56.34 |          62.55 
            735 |          36.57 |          79.26 |          56.83 |          62.79 
            736 |          34.30 |          79.07 |          56.72 |          62.54 
            737 |          37.62 |          79.49 |          56.32 |          62.20 
            738 |          38.31 |          80.12 |          57.00 |          61.95 
            739 |          30.91 |          79.10 |          56.92 |          62.50 
            740 |          31.30 |          79.14 |          55.90 |          62.30 
            741 |          31.72 |          79.58 |          56.42 |          61.79 
            742 |          33.37 |          79.58 |          56.45 |          62.49 
            743 |          32.95 |          78.45 |          55.55 |          62.33 
            744 |          35.44 |          79.45 |          57.39 |          63.35 
            745 |          36.82 |          79.65 |          57.22 |          62.80 
            746 |          38.36 |          79.65 |          56.90 |          62.88 
            747 |          36.71 |          79.59 |          57.07 |          62.76 
            748 |          35.55 |          79.48 |          56.00 |          62.48 
            749 |          39.23 |          79.70 |          57.80 |          63.44 
            750 |          37.53 |          79.88 |          56.63 |          62.77 
            751 |          37.73 |          80.03 |          57.35 |          62.93 
            752 |          38.97 |          79.52 |          56.56 |          62.29 
            753 |          32.62 |          79.70 |          57.11 |          62.64 
            754 |          34.33 |          79.59 |          56.61 |          62.48 
            755 |          35.88 |          79.74 |          58.65 |          63.51 
            756 |          36.45 |          79.60 |          56.42 |          63.37 
            757 |          36.07 |          79.42 |          56.46 |          63.02 
            758 |          34.43 |          79.79 |          56.76 |          63.33 
            759 |          34.08 |          79.66 |          57.16 |          63.40 
            760 |          32.67 |          79.29 |          56.51 |          62.70 
            761 |          36.20 |          79.86 |          56.84 |          62.87 
            762 |          31.94 |          79.77 |          56.51 |          62.10 
            763 |          33.29 |          79.97 |          57.40 |          62.86 
            764 |          36.62 |          80.15 |          56.68 |          62.53 
            765 |          35.34 |          79.23 |          56.29 |          62.42 
            766 |          32.38 |          79.26 |          56.31 |          62.24 
            767 |          34.41 |          79.45 |          56.94 |          62.57 
            768 |          31.40 |          79.54 |          57.19 |          62.58 
            769 |          33.20 |          79.57 |          56.70 |          62.52 
            770 |          32.78 |          79.57 |          57.15 |          63.56 
            771 |          35.65 |          79.09 |          55.72 |          61.15 
            772 |          39.15 |          79.80 |          55.98 |          61.82 
            773 |          35.98 |          79.90 |          57.70 |          62.63 
            774 |          34.33 |          79.74 |          56.62 |          61.81 
            775 |          33.72 |          80.76 |          58.33 |          63.30 
            776 |          34.23 |          79.66 |          56.76 |          62.62 
            777 |          32.46 |          79.92 |          57.49 |          62.82 
            778 |          33.50 |          79.44 |          57.10 |          63.13 
            779 |          35.85 |          80.23 |          57.61 |          63.16 
            780 |          36.00 |          79.23 |          56.68 |          62.31 
            781 |          35.19 |          79.71 |          56.40 |          62.32 
            782 |          33.51 |          79.75 |          56.45 |          62.45 
            783 |          35.24 |          79.81 |          56.56 |          62.10 
            784 |          39.08 |          79.75 |          56.72 |          62.51 
            785 |          38.26 |          79.94 |          56.44 |          63.32 
            786 |          34.53 |          79.22 |          55.54 |          62.38 
            787 |          32.44 |          79.22 |          56.20 |          62.55 
            788 |          31.49 |          80.36 |          57.20 |          63.64 
            789 |          36.24 |          80.13 |          56.93 |          63.46 
            790 |          33.44 |          80.04 |          56.75 |          63.55 
            791 |          33.93 |          79.92 |          58.33 |          63.15 
            792 |          35.49 |          79.83 |          56.98 |          62.64 
            793 |          31.75 |          80.50 |          57.85 |          63.57 
            794 |          38.58 |          79.73 |          55.98 |          62.88 
            795 |          36.95 |          79.93 |          56.16 |          62.76 
            796 |          34.89 |          80.63 |          56.87 |          63.71 
            797 |          35.38 |          80.56 |          57.01 |          63.34 
            798 |          36.66 |          79.40 |          56.15 |          62.56 
            799 |          30.72 |          80.45 |          56.90 |          63.18 
            800 |          32.47 |          80.33 |          57.29 |          63.86 
            801 |          35.40 |          79.94 |          56.93 |          62.90 
            802 |          34.41 |          80.49 |          57.27 |          63.31 
            803 |          31.88 |          80.50 |          57.77 |          64.14 
            804 |          38.18 |          80.33 |          56.72 |          63.75 
            805 |          38.47 |          80.30 |          57.06 |          62.46 
            806 |          37.05 |          80.09 |          56.41 |          62.59 
            807 |          38.14 |          79.98 |          58.22 |          63.40 
            808 |          31.02 |          80.32 |          56.99 |          62.54 
            809 |          32.80 |          79.81 |          57.56 |          63.19 
            810 |          33.72 |          79.76 |          57.37 |          62.93 
            811 |          32.80 |          80.64 |          57.10 |          63.07 
            812 |          37.54 |          80.65 |          57.62 |          63.63 
            813 |          36.36 |          80.60 |          57.53 |          63.23 
            814 |          37.88 |          79.29 |          55.56 |          61.55 
            815 |          36.54 |          80.46 |          56.45 |          62.27 
