Evaluation

batch_size=10
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=5
data_io='connl-ner-2003'
dataset_sort=False
dev='../wstud-thesis-dittmar/data/targer_dev.txt'
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
epoch_num=100
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=-1
load=None
lr=0.01
lr_decay=0.05
min_epoch_num=50
model='BiRNNCNNCRF'
momentum=0.9
opt='sgd'
patience=15
report_fn='2019_12_07_13-23_34_report.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='../targer-save.sav'
save_best=True
seed_num=42
test='../wstud-thesis-dittmar/data/targer_test.txt'
train='../wstud-thesis-dittmar/data/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
             95 |         270.12 |          79.06 |          71.67 |          71.46 
             96 |         299.29 |          81.97 |          73.11 |          73.88 
             97 |         284.72 |          80.42 |          69.94 |          70.32 
             98 |         291.18 |          81.37 |          73.34 |          73.63 
             99 |         257.69 |          78.28 |          72.91 |          71.19 
            100 |         245.11 |          83.62 |          74.54 |          74.73 
--------------------------------------------------------------------------------------
Final eval on test, "save best", best epoch on dev 92, f1-macro, test = 72.58)
--------------------------------------------------------------------------------------
F1 scores
------------------------
              0 = 86.75
             CA = 35.73
             CC = 72.39
             CI = 73.00
             CP = 95.04
------------------------
Macro-F1 = 72.582
Input arguments:
python3 main.py --train ../wstud-thesis-dittmar/data/targer_train.txt --dev ../wstud-thesis-dittmar/data/targer_dev.txt --test ../wstud-thesis-dittmar/data/targer_test.txt --save ../targer-save.sav --gpu -1 --save-best yes --cross-folds-num 5 -v f1-macro

72.5821
